scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps
A13_sens_plus,82,A13,1,19.14396887159533,46.2625558885611,0.1634791113452416,282.9875664717924,2,Viamala,100.0,16,79.14396887159533,7,14.824902723735406,93.96887159533074,103.96887159533074,10,100.0,90.0,16.34791113452416,29.914644754036942,14.713120021071743,100.0,2,4,0,2
A13_sens_plus,83,A13,1,19.377431906614785,82.2790626312568,0.199739768503346,411.93130065071887,2,Viamala,100.0,16,79.37743190661479,7,14.824902723735406,94.2023346303502,104.2023346303502,11,100.0,90.0,19.973976850334598,62.30508578092221,17.97657916530114,100.0,2,4,0,2
A13_sens_plus,84,A13,1,19.610894941634243,41.71513590956262,0.15701283263170096,265.67978687074725,2,Viamala,100.0,16,79.61089494163424,7,14.824902723735406,94.43579766536965,104.43579766536965,12,100.0,90.0,15.701283263170096,26.01385264639252,14.131154936853086,100.0,2,4,0,2
A13_sens_plus,85,A13,1,19.844357976653697,52.12993602049539,0.1905706235559815,273.5465469324124,2,Viamala,100.0,16,79.8443579766537,7,14.824902723735406,94.6692607003891,104.6692607003891,13,100.0,90.0,19.057062355598152,33.072873664897244,17.151356120038336,100.0,2,4,0,2
A13_sens_plus,86,A13,1,20.07782101167315,59.973761312942855,0.21200377457674063,282.89006378626385,2,Viamala,100.0,16,80.07782101167315,8,14.824902723735406,94.90272373540856,104.90272373540856,14,100.0,90.0,21.200377457674062,38.77338385526879,19.080339711906657,100.0,2,4,0,2
A13_sens_plus,87,A13,1,20.311284046692606,65.37839317420308,0.15576494019134396,419.7247024515998,0,Heidiland,58.0,6,55.1112840466926,5,4.3968871595330725,59.508171206225676,69.50817120622568,5,58.0,132.0,9.03436653109795,56.34402664310513,20.560972105257402,100.0,0,4,0,4
A13_sens_plus,88,A13,1,20.544747081712064,36.65047848039492,0.24117973806309598,151.9633397678152,2,Viamala,100.0,16,80.54474708171206,8,14.824902723735406,95.36964980544747,105.36964980544747,15,100.0,90.0,24.117973806309596,12.532504674085327,21.70617642567864,100.0,2,3,0,1
A13_sens_plus,89,A13,1,20.77821011673152,58.16971461458422,0.20727300115150626,280.6429891564365,0,Heidiland,58.0,6,55.57821011673151,5,4.163424124513625,59.74163424124514,69.74163424124514,0,58.0,132.0,12.021834066787363,46.14788054779686,27.360036151998827,100.0,0,4,0,4
A13_sens_plus,90,A13,1,21.011673151750973,32.76048723074484,0.22547846554047862,145.29319752206482,0,Heidiland,58.0,6,55.811673151750966,5,7.3929961089494185,63.204669260700385,73.20466926070038,1,58.0,132.0,13.07775100134776,19.682736229397083,29.76315745134318,100.0,0,2,0,2
A13_sens_plus,92,A13,1,21.47859922178988,83.98791659530337,0.15392198487836614,545.6525048171202,0,Heidiland,58.0,6,56.278599221789875,5,8.56031128404669,64.83891050583657,74.83891050583657,2,58.0,132.0,8.927475122945236,75.06044147235814,20.31770200394433,100.0,0,4,0,4
A13_sens_plus,93,A13,1,21.71206225680934,72.35372134525845,0.22419503436181815,322.72668996089396,0,Heidiland,58.0,6,56.51206225680934,5,12.529182879377437,69.04124513618677,79.04124513618677,3,58.0,132.0,13.003311992985452,59.350409352273,29.593744535759996,100.0,0,4,0,4
A13_sens_plus,94,A13,1,21.945525291828794,36.734514578227184,0.2154630392818995,170.4910257492741,0,Heidiland,58.0,6,56.74552529182879,5,12.529182879377423,69.27470817120621,79.27470817120621,4,58.0,132.0,12.49685627835017,24.237658299877012,28.441121185210733,100.0,0,4,0,4
A13_sens_plus,95,A13,1,22.17898832684825,11.150043590420289,0.1822494316782425,61.18012817787796,0,Heidiland,58.0,6,56.978988326848246,5,12.529182879377437,69.50817120622568,79.50817120622568,5,58.0,132.0,10.570467037338066,0.579576553082223,24.05692498152801,100.0,0,0,1,0
A13_sens_plus,96,A13,1,22.412451361867703,51.76211834279793,0.239686586451042,215.95750980153736,0,Heidiland,58.0,6,57.2124513618677,5,12.529182879377437,69.74163424124514,79.74163424124514,0,58.0,132.0,13.901822014160436,37.860296328637496,31.638629411537543,100.0,0,4,0,4
A13_sens_plus,101,A13,1,23.579766536964982,64.18600535092699,0.21734733336379986,295.315357025758,0,Heidiland,58.0,6,58.37976653696498,5,14.824902723735406,73.20466926070038,83.20466926070038,1,58.0,132.0,12.606145335100392,51.5798600158266,28.68984800402158,100.0,0,4,0,4
A13_sens_plus,108,A13,1,25.214007782101167,35.20240165729866,0.2230883161912889,157.79581045882327,4,Ghiffa,153.0,1,117.01400778210116,11,14.785992217898851,131.8,141.8,0,153.0,37.0,34.132512377267204,1.069889280031454,8.25426769907769,100.0,4,4,1,0
A13_sens_plus,109,A13,1,25.44747081712062,44.187258651740564,0.15233188330412778,290.07229276829406,1,Apfelwuhr,65.0,1,64.44747081712062,6,14.785992217898837,79.23346303501945,89.23346303501945,0,65.0,125.0,9.901572414768305,34.28568623697226,19.041485413015973,100.0,1,4,0,3
A13_sens_plus,110,A13,1,25.68093385214008,56.76845991227972,0.22294597437064015,254.62877305828394,0,Heidiland,58.0,6,60.480933852140076,6,14.35797665369649,74.83891050583657,84.83891050583657,2,58.0,132.0,12.93086651349713,43.83759339878259,29.4288686169245,100.0,0,4,0,4
A13_sens_plus,111,A13,1,25.914396887159533,29.144122563289628,0.15145866998814175,192.42293997148812,3,Isola,147.0,1,114.11439688715953,11,14.785992217898837,128.90038910505837,138.90038910505837,0,147.0,43.0,22.26442448825684,6.879698075032788,6.5127228094900955,100.0,3,4,0,1
A13_sens_plus,114,A13,1,26.6147859922179,80.29518729059136,0.17449921905334742,460.14639908528034,2,Viamala,100.0,16,86.6147859922179,8,14.552529182879383,101.16731517509729,111.16731517509729,0,100.0,90.0,17.44992190533474,62.84526538525662,15.704929714801267,100.0,2,4,0,2
A13_sens_plus,117,A13,1,27.315175097276263,45.78400965361119,0.17416030293673748,262.8843018850393,2,Viamala,100.0,16,87.31517509727627,8,14.08560311284046,101.40077821011673,111.40077821011673,1,100.0,90.0,17.41603029367375,28.367979359937443,15.674427264306374,100.0,2,4,0,2
A13_sens_plus,118,A13,1,27.54863813229572,53.14807325907967,0.23913224969989544,222.25389225325767,2,Viamala,100.0,16,87.54863813229572,8,14.085603112840474,101.6342412451362,111.6342412451362,2,100.0,90.0,23.913224969989543,29.23484828909013,21.52190247299059,100.0,2,4,0,2
A13_sens_plus,119,A13,1,27.782101167315176,47.73795194398599,0.15080321959031703,316.5579095305417,2,Viamala,100.0,16,87.78210116731518,8,14.08560311284046,101.86770428015564,111.86770428015564,3,100.0,90.0,15.080321959031703,32.65762998495428,13.572289763128532,100.0,2,4,0,2
A13_sens_plus,120,A13,1,28.01556420233463,47.42951455660968,0.16403020245491293,289.15110660578904,2,Viamala,100.0,16,88.01556420233463,8,14.085603112840474,102.1011673151751,112.1011673151751,4,100.0,90.0,16.40302024549129,31.02649431111839,14.762718220942164,100.0,2,4,0,2
A13_sens_plus,121,A13,1,28.249027237354085,24.323356795281885,0.21821427994499237,111.46546780262656,2,Viamala,100.0,16,88.24902723735408,8,14.08560311284046,102.33463035019454,112.33463035019454,5,100.0,90.0,21.82142799449924,2.501928800782647,19.639285195049315,100.0,2,2,1,0
A13_sens_plus,122,A13,1,28.48249027237354,27.971775765144884,0.20335706701289108,137.55005506335178,2,Viamala,100.0,16,88.48249027237354,8,14.085603112840474,102.56809338521401,112.56809338521401,6,100.0,90.0,20.33570670128911,7.636069063855775,18.3021360311602,100.0,2,2,1,0
A13_sens_plus,123,A13,1,28.715953307392997,56.881829292177144,0.1658951267253435,342.8782413021142,2,Viamala,100.0,16,88.715953307393,8,14.08560311284046,102.80155642023345,112.80155642023345,7,100.0,90.0,16.58951267253435,40.29231661964279,14.930561405280915,100.0,2,4,0,2
A13_sens_plus,124,A13,1,28.94941634241245,50.607802590286894,0.2203224684766853,229.69878170025248,2,Viamala,100.0,16,88.94941634241245,8,14.319066147859928,103.26848249027238,113.26848249027238,8,100.0,90.0,22.032246847668528,28.575555742618366,19.829022162901676,100.0,2,4,0,2
A13_sens_plus,125,A13,1,29.182879377431906,65.45349153411831,0.15861673059741282,412.6518765554856,2,Viamala,100.0,16,89.1828793774319,8,14.319066147859928,103.50194552529183,113.50194552529183,9,100.0,90.0,15.861673059741282,49.591818474377035,14.275505753767154,100.0,2,4,0,2
A13_sens_plus,126,A13,1,29.41634241245136,35.913807857712044,0.18498788078722653,194.14140918247605,2,Viamala,100.0,16,89.41634241245136,8,14.552529182879383,103.96887159533074,113.96887159533074,10,100.0,90.0,18.498788078722654,17.41501977898939,16.64890927085039,100.0,2,4,0,2
A13_sens_plus,127,A13,1,29.64980544747082,25.096888887296245,0.16826778750974405,149.14850464675501,2,Viamala,100.0,16,89.64980544747081,8,14.552529182879383,104.2023346303502,114.2023346303502,11,100.0,90.0,16.826778750974405,8.27011013632184,15.144100875876966,100.0,2,3,0,1
A13_sens_plus,128,A13,1,29.883268482490273,67.20021672528661,0.21655054328602458,310.32116431371463,2,Viamala,100.0,16,89.88326848249028,8,14.552529182879368,104.43579766536965,114.43579766536965,12,100.0,90.0,21.655054328602457,45.54516239668415,19.48954889574221,100.0,2,4,0,2
