scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A2_sens_minus,10,A2,-1,10,86.42516633769901,0.1814031295796615,476.42599407165244,17,Mühlematt-Ost,28.0,1,167.79999999999998,16,0.0,167.79999999999998,177.79999999999998,0,263.0,28.0,47.70902307945098,38.71614325824803,5.079287628230523,100.0,17,18,0,1,0
A2_sens_minus,11,A2,-1,11,81.35213353464341,0.17823068983212936,456.44290335893766,17,Mühlematt-Ost,28.0,1,168.79999999999998,16,9.0,177.79999999999998,187.79999999999998,0,263.0,28.0,46.874671425850025,34.47746210879339,4.990459315299622,100.0,17,18,0,1,0
A2_sens_minus,12,A2,-1,12,32.29064204151548,0.19537924250359837,165.27161037038402,11,Gotthard-Ost,139.0,10,103.2,10,0.0,103.2,113.2,2,152.0,139.0,29.69764486054695,2.5929971809685313,27.157714708000174,100.0,11,11,1,0,0
A2_sens_minus,13,A2,-1,13,32.28274382235006,0.21402806633223154,150.83416103119015,10,Erstfeld,144.0,1,101.2,10,0.0,101.2,111.2,0,147.0,144.0,31.462125750838037,0.820618071512019,30.820041551841342,100.0,10,10,1,0,0
A2_sens_minus,14,A2,-1,14,43.75996598778102,0.2418989569915093,180.90183823867008,11,Gotthard-Ost,139.0,10,105.2,10,0.0,105.2,115.2,3,152.0,139.0,36.76864146270941,6.991324525071612,33.62395502181979,100.0,11,11,1,0,0
A2_sens_minus,15,A2,-1,15,10.326217998879095,0.22475190889753857,45.94496237888098,2,Agno/Muzzano-Nord,263.0,1,31.8,3,0.0,31.8,41.8,0,28.0,263.0,6.29305344913108,4.033164549748014,59.10975204005265,100.0,2,2,1,0,0
A2_sens_minus,16,A2,-1,16,34.713901419610096,0.2379560586894266,145.88366276866975,9,Wiler,156.0,1,97.0,9,1.0,98.0,108.0,0,135.0,156.0,32.12406792307259,2.5898334965375085,37.12114515555055,100.0,9,9,1,0,0
A2_sens_minus,17,A2,-1,17,86.14032131708916,0.22588352918965626,381.3483950162831,18,Sonnenberg-Ost,23.0,1,177.8,17,13.0,190.8,200.8,0,268.0,23.0,60.53678582282788,25.60353549426128,5.195321171362094,100.0,18,18,1,0,0
A2_sens_minus,18,A2,-1,18,77.05638226147835,0.19303923741765797,399.17471334990745,17,Mühlematt-Ost,28.0,1,175.79999999999998,17,12.0,187.79999999999998,197.79999999999998,0,263.0,28.0,50.76931944084404,26.287062820634304,5.405098647694423,100.0,17,18,0,1,0
A2_sens_minus,19,A2,-1,19,52.81026056780832,0.2453453021379346,215.24871317127597,13,Kirchbühl,81.0,1,145.0,14,0.0,145.0,155.0,0,210.0,81.0,51.522513448966265,1.2877471188420557,19.872969473172702,100.0,13,13,1,0,0
A2_sens_minus,20,A2,-1,20,48.839083676599,0.21070254828203833,231.79161369811666,14,Knutwil-Nord,70.0,1,152.6,15,0.0,152.6,162.6,0,221.0,70.0,46.56526317033047,2.2738205062685353,14.749178379742682,100.0,14,14,1,0,0
A2_sens_minus,21,A2,-1,21,85.61013441206308,0.19532030299080302,438.30637727453336,16,Eggberg,39.0,1,172.2,17,0.0,172.2,182.2,0,252.0,39.0,49.22071635368236,36.38941805838071,7.617491816641318,100.0,16,18,0,2,0
A2_sens_minus,22,A2,-1,22,57.4539349971331,0.21785976593480103,263.71980503425016,16,Eggberg,39.0,1,173.2,17,9.0,182.2,192.2,0,252.0,39.0,54.90066101556986,2.553273981563244,8.49653087145724,100.0,16,17,0,1,0
A2_sens_minus,23,A2,-1,23,85.42943348549683,0.22534502593737915,379.10503296059755,15,Gunzgen-Nord,45.0,1,170.6,17,0.0,170.6,180.6,0,246.0,45.0,55.43487638059527,29.99455710490156,10.140526167182061,100.0,15,18,0,3,0
A2_sens_minus,24,A2,-1,24,89.83053954192964,0.2071345426067525,433.68208127639065,15,Gunzgen-Nord,45.0,1,171.6,17,9.0,180.6,190.6,0,246.0,45.0,50.95509748126111,38.875442060668526,9.321054417303863,100.0,15,18,0,3,0
A2_sens_minus,25,A2,-1,25,12.701172345255696,0.19833496213931992,64.03899851168846,4,Bellinzona-Sud,238.0,4,56.8,5,0.0,56.8,66.8,1,53.0,238.0,10.511752993383956,2.1894193518717397,47.20372098915814,100.0,4,4,1,0,0
A2_sens_minus,26,A2,-1,26,19.48484816738775,0.24138837871577362,80.71990984425342,5,Moleno-Nord,225.0,1,65.6,6,0.0,65.6,75.6,0,66.0,225.0,15.93163299524106,3.5532151721466896,54.31238521104906,100.0,5,5,1,0,0
A2_sens_minus,27,A2,-1,27,70.89590703814777,0.2007908805102841,353.08330168170477,18,Sonnenberg-Ost,23.0,1,187.8,18,13.0,200.8,210.8,0,268.0,23.0,53.81195597675614,17.08395106139163,4.618190251736534,100.0,18,18,1,0,0
A2_sens_minus,28,A2,-1,28,20.09099751946448,0.2038050630383189,98.57948188307286,7,Lavorgo,201.0,1,82.0,8,0.0,82.0,92.0,0,90.0,201.0,18.3424556734487,1.7485418460157796,40.964817670702104,100.0,7,7,1,0,0
A2_sens_minus,29,A2,-1,29,37.3474284094852,0.24366418793598638,153.27417921297828,11,Gotthard-Ost,139.0,10,120.2,12,0.0,120.2,130.2,4,152.0,139.0,37.03695656626993,0.310471843215268,33.86932212310211,100.0,11,11,1,0,0
A2_sens_minus,30,A2,-1,30,34.00154318371776,0.24611488728728909,138.15313473511202,9,Wiler,156.0,1,111.0,11,0.0,111.0,121.0,0,135.0,156.0,33.22550978378403,0.7760333999337305,38.3939224168171,100.0,9,9,1,0,0
A2_sens_minus,31,A2,-1,31,54.08360724717784,0.21518086078725146,251.34023095413724,15,Gunzgen-Nord,45.0,1,178.6,17,12.0,190.6,200.6,0,246.0,45.0,52.934491753663856,1.1491154935139818,9.683138735426315,100.0,15,15,1,0,0
A2_sens_minus,32,A2,-1,32,14.049580983874943,0.1928211355067637,72.86328309887024,5,Moleno-Nord,225.0,1,71.6,7,4.0,75.6,85.6,0,66.0,225.0,12.726194943446403,1.3233860404285398,43.38475548902183,100.0,5,5,1,0,0
A2_sens_minus,33,A2,-1,33,46.07763034620301,0.164471262495508,280.1561175312403,17,Mühlematt-Ost,28.0,1,190.79999999999998,19,7.0,197.79999999999998,207.79999999999998,0,263.0,28.0,43.25594203631861,2.821688309884401,4.605195349874224,100.0,17,18,0,1,0
A2_sens_minus,34,A2,-1,34,54.43332497290577,0.15994952447894956,340.31564113883667,16,Eggberg,39.0,1,185.2,18,7.0,192.2,202.2,0,252.0,39.0,40.307280168695286,14.126044804210487,6.2380314546790325,100.0,16,18,0,2,0
A2_sens_minus,35,A2,-1,35,19.5336419457487,0.18043847493504292,108.25652318764458,8,San Gottardo-Sud Stalvedro,183.0,5,99.80000000000001,9,0.0,99.80000000000001,109.80000000000001,0,108.0,183.0,19.487355292984635,0.04628665276406352,33.02024091311286,100.0,8,8,1,0,0
A2_sens_minus,36,A2,-1,36,37.31400688179506,0.15099627422790296,247.1187257605838,14,Knutwil-Nord,70.0,1,168.6,16,0.0,168.6,178.6,0,221.0,70.0,33.370176604366556,3.9438302774285035,10.569739195953208,100.0,14,15,0,1,0
A2_sens_minus,37,A2,-1,37,50.3641399322518,0.2348137770089765,214.48545555453705,13,Kirchbühl,81.0,1,163.0,16,0.0,163.0,173.0,0,210.0,81.0,49.31089317188506,1.05324676036674,19.019915937727095,100.0,13,13,1,0,0
A2_sens_minus,38,A2,-1,38,34.31720884579107,0.17237056143048887,199.08973180220232,11,Gotthard-Ost,139.0,10,129.2,12,0.0,129.2,139.2,5,152.0,139.0,26.200325337434307,8.116883508356764,23.959508038837953,100.0,11,11,1,0,0
A2_sens_minus,39,A2,-1,39,43.42690681225025,0.1659424889596147,261.698538358184,16,Eggberg,39.0,1,190.2,19,12.0,202.2,212.2,0,252.0,39.0,41.8175072178229,1.6093995944273516,6.471757069424973,100.0,16,16,1,0,0
A2_sens_minus,40,A2,-1,40,43.16488013168903,0.1992014037468519,216.68963832475598,13,Kirchbühl,81.0,1,166.0,16,7.0,173.0,183.0,0,210.0,81.0,41.8322947868389,1.3325853448501306,16.135313703495004,100.0,13,13,1,0,0
A2_sens_minus,41,A2,-1,41,17.465107372548374,0.21392336476175783,81.64188793495705,5,Moleno-Nord,225.0,1,80.6,8,5.0,85.6,95.6,0,66.0,225.0,14.118942074276017,3.346165298272357,48.13275707139551,100.0,5,5,1,0,0
A2_sens_minus,42,A2,-1,42,57.03971204714545,0.15403407689069637,370.3057998498684,18,Sonnenberg-Ost,23.0,1,202.8,20,8.0,210.8,220.8,0,268.0,23.0,41.28113260670663,15.758579440438822,3.5427837684860166,100.0,18,18,1,0,0
A2_sens_minus,43,A2,-1,43,15.924468925791313,0.16273932575477476,97.8526170729455,7,Lavorgo,201.0,1,97.0,9,0.0,97.0,107.0,0,90.0,201.0,14.646539317929728,1.2779296078615854,32.710604476709726,100.0,7,7,1,0,0
A2_sens_minus,44,A2,-1,44,56.44155455138243,0.24598115485820765,229.4547912986154,14,Knutwil-Nord,70.0,1,176.6,17,2.0,178.6,188.6,0,221.0,70.0,54.36183522366389,2.079719327718543,17.218680840074537,100.0,14,14,1,0,0
A2_sens_minus,45,A2,-1,45,16.62972127657578,0.2110046323149103,78.81211466370574,5,Moleno-Nord,225.0,1,84.6,8,11.0,95.6,105.6,0,66.0,225.0,13.92630573278408,2.7034155437916993,47.47604227085481,100.0,5,5,1,0,0
A2_sens_minus,46,A2,-1,46,53.129905412424975,0.24329524524176552,218.37625868778952,13,Kirchbühl,81.0,1,172.0,17,11.0,183.0,193.0,0,210.0,81.0,51.092001500770756,2.037903911654219,19.706914864583005,100.0,13,13,1,0,0
A2_sens_minus,47,A2,-1,47,78.06151863433256,0.17108822792459072,456.2646979354953,18,Sonnenberg-Ost,23.0,1,207.8,20,13.0,220.8,230.8,0,268.0,23.0,45.85164508379031,32.20987355054225,3.9350292422655864,100.0,18,18,1,0,0
A2_sens_minus,48,A2,-1,48,33.10370082492998,0.23003290384782277,143.90854643485952,9,Wiler,156.0,1,129.0,12,0.0,129.0,139.0,0,135.0,156.0,31.054442019456072,2.049258805473908,35.88513300026035,100.0,9,9,1,0,0
A2_sens_minus,49,A2,-1,49,16.619588535074577,0.164632321194718,100.9497309791183,7,Lavorgo,201.0,1,103.0,10,4.0,107.0,117.0,0,90.0,201.0,14.816908907524619,1.8026796275499581,33.09109656013832,100.0,7,7,1,0,0
A2_sens_minus,50,A2,-1,50,35.63840737891732,0.21208873635333156,168.035361008258,11,Gotthard-Ost,139.0,10,141.2,14,0.0,141.2,151.2,6,152.0,139.0,32.2374879257064,3.400919453210925,29.480334353113086,100.0,11,11,1,0,0
A2_sens_minus,51,A2,-1,51,43.95993547899146,0.2304296792085368,190.77375635804324,11,Gotthard-Ost,139.0,10,142.2,14,0.0,142.2,152.2,7,152.0,139.0,35.025311239697594,8.934624239293868,32.02972540998662,100.0,11,11,1,0,0
A2_sens_minus,52,A2,-1,52,58.973248538383764,0.1668020443304318,353.552312713619,17,Mühlematt-Ost,28.0,1,209.79999999999998,20,0.0,209.79999999999998,219.79999999999998,0,263.0,28.0,43.86893765890356,15.104310879480202,4.67045724125209,100.0,17,18,0,1,0
A2_sens_minus,53,A2,-1,53,22.122546431974357,0.15911995718981656,139.03062081385582,9,Wiler,156.0,1,134.0,13,5.0,139.0,149.0,0,135.0,156.0,21.481194220625234,0.6413522113491226,24.82271332161138,100.0,9,9,1,0,0
