scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A2_sens_plus,14,A2,1,14,45.47313590618649,0.16767727829392318,271.1943822613591,17,Agno/Muzzano-Sud,263.0,1,171.79999999999998,17,0.0,171.79999999999998,181.79999999999998,0,263.0,28.0,44.0991241913018,1.3740117148846949,4.694963792229849,100.0,17,17,1,0,0
A2_sens_plus,15,A2,1,15,28.17909774278215,0.23566142840923754,119.57450115191433,6,Neuenkirch-West,86.0,3,66.6,6,0.0,66.6,76.6,1,86.0,205.0,20.266882843194427,7.912214899587724,48.31059282389369,100.0,6,6,1,0,0
A2_sens_plus,16,A2,1,16,54.366782961266786,0.225851952983521,240.7186754113815,15,Bellinzona-Nord,233.0,10,155.8,15,0.0,155.8,165.8,0,233.0,58.0,52.62350504516039,1.7432779161063934,13.099413273044219,100.0,15,15,1,0,0
A2_sens_plus,17,A2,1,17,15.105380488334026,0.22194629559509368,68.05871865458585,3,Gunzgen-Süd,46.0,6,44.6,4,0.0,44.6,54.6,0,46.0,245.0,10.20952959737431,4.895850890959716,54.37684242079795,100.0,3,3,1,0,0
A2_sens_plus,18,A2,1,18,76.21049375940656,0.19320930397751038,394.4452580206877,19,Coldrerio-Ovest,283.0,7,187.8,18,0.0,187.8,197.8,1,283.0,8.0,54.678233025635436,21.532260733771125,1.545674431820083,100.0,19,19,1,0,0
A2_sens_plus,19,A2,1,19,60.53315192976519,0.21273088407024432,284.5527211261764,19,Coldrerio-Ovest,283.0,7,188.8,18,0.0,188.8,198.8,2,283.0,8.0,60.20284019187914,0.3303117378860492,1.7018470725619546,100.0,19,19,1,0,0
A2_sens_plus,20,A2,1,20,70.64701920682991,0.20840979689127356,338.98127756290717,19,Coldrerio-Ovest,283.0,7,189.8,18,0.0,189.8,199.8,3,283.0,8.0,58.97997252023042,11.667046686599491,1.6672783751301885,100.0,19,19,1,0,0
A2_sens_plus,21,A2,1,21,38.36207745038947,0.214984660155482,178.44099863983368,10,Wassen,158.0,1,115.80000000000001,11,0.0,115.80000000000001,125.80000000000001,0,158.0,133.0,33.96757630456616,4.3945011458233125,28.592959800679107,100.0,10,10,1,0,0
A2_sens_plus,22,A2,1,22,87.65584195159227,0.1584444321139889,553.2276570534865,19,Coldrerio-Ovest,283.0,7,191.8,19,0.0,191.8,201.8,4,283.0,8.0,44.83977428825886,42.816067663333406,1.2675554569119112,100.0,19,19,1,0,0
A2_sens_plus,23,A2,1,23,81.44968970577581,0.19158074021706095,425.1455006045666,19,Coldrerio-Ovest,283.0,7,192.8,19,0.0,192.8,202.8,5,283.0,8.0,54.21734948142825,27.23234022434756,1.5326459217364876,100.0,19,19,1,0,0
